INDEX	INTEGRATED QUALITY FLAG	FILENAME	LAB	GRANT	CELLTYPE	HGNC TARGET NAME	TARGET NAME	ENSEMBL TARGET ID	TREATMENT	PROTOCOL	NPEAKS IDR OPTIMAL (IDR 2%)	NPEAKS IDR OPTIMAL (IDR 2%) BLACKLIST FILTERED	NPEAKS IN BLACKLIST	BLACKLIST PERCENTAGE	NPEAKS (SPP FDR 1%)	NPEAKS (SPP FDR 0.1 %)	NPEAKS (SPP FDR 0.01 %)	NPEAKS RELAXED (SPP FDR 90%)	RESCUE-RATIO (Np' / Nt) (DISTINCT READS)	SELF CONS. RATIO (Ns1/Ns2) (DISTINCT READS)
32	1	wgEncodeSydhTfbsHelas3Brca1a300IggrabAlnRep0	Stanford	Snyder	HeLa-S3	BRCA1	BRCA1_(A300-000A)	ENSG00000012048	None	std	8169	8114	55	0.673277023	3304	631	0	300000		
33	0	wgEncodeSydhTfbsHepg2Brca1a300IggrabAlnRep0	Stanford	Snyder	HepG2	BRCA1	BRCA1_(A300-000A)	ENSG00000012048	None	std	1558	1497	61	3.915275995	275	0	0	40549		
34	0	wgEncodeSydhTfbsHelas3Brf1StdAlnRep0	Harvard	Snyder	HeLa-S3	BRF1	BRF1	ENSG00000185024	None	std	379	193	186	49.07651715	66	0	0	300000		
35	0	wgEncodeSydhTfbsK562Brf1StdAlnRep0	Harvard	Snyder	K562	BRF1	BRF1	ENSG00000185024	None	std	257	221	36	14.0077821	231	0	0	300000		
36	0	wgEncodeSydhTfbsHelas3Brf2StdAlnRep0	Harvard	Snyder	HeLa-S3	BRF2	BRF2	ENSG00000104221	None	std	676	303	373	55.17751479	0	0	0	300000		
37	0	wgEncodeSydhTfbsK562Brf2StdAlnRep0	Harvard	Snyder	K562	BRF2	BRF2	ENSG00000104221	None	std	1273	1087	186	14.61115475	0	0	0	300000		
38	1	wgEncodeHaibTfbsK562Cbx3sc101004V0422111AlnRep0	HudsonAlpha	Myers	K562	CBX3	CBX3_(SC-101004)	ENSG00000122565	None	v042211.1	20776	20723	53	0.255102041	43705	25898	10353	300000		
39	-1	wgEncodeUchicagoTfbsK562Ccne1Controlccne1AlnRep0	UChicago	White	K562	CCNE1	eGFP-CCNE1	ENSG00000105173	None	std	2	1	1	50	0	0	0	300000		
40	1	wgEncodeSydhTfbsK562Ccnt2StdAlnRep0	Harvard	Snyder	K562	CCNT2	CCNT2	ENSG00000082258	None	std	20080	20057	23	0.114541833	30269	22164	8597	300000		
41	-1	wgEncodeUchicagoTfbsK562Cdkn1bControlcdkn1bAlnRep0	UChicago	White	K562	CDKN1B	eGFP-CDKN1B	ENSG00000111276	None	std	0	0	0	#DIV/0!	0	0	0	300000		
42	1	wgEncodeSydhTfbsA549CebpbIggrabAlnRep0	Stanford	Snyder	A549	CEBPB	CEBPB	ENSG00000172216	None	std	38930	38845	85	0.218340611	114317	83788	24374	300000		
43	1	wgEncodeSydhTfbsH1hescCebpbIggrabAlnRep0	Stanford	Snyder	H1-hESC	CEBPB	CEBPB	ENSG00000172216	None	std	15611	15557	54	0.345909935	32717	3623	0	250762		
44	1	wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0	Stanford	Snyder	HeLa-S3	CEBPB	CEBPB	ENSG00000172216	None	std	61052	61004	48	0.078621503	189890	142352	96659	300000		
45	1	wgEncodeSydhTfbsHepg2CebpbForsklnStdAlnRep0	Stanford	Snyder	HepG2	CEBPB	CEBPB	ENSG00000172216	forskolin	std	18457	18443	14	0.07585198	58910	43519	30083	300000		
46	1	wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0	Stanford	Snyder	HepG2	CEBPB	CEBPB	ENSG00000172216	None	std	56720	56629	91	0.160437236	138467	41768	19397	300000		
47	1	wgEncodeSydhTfbsImr90CebpbIggrabAlnRep0	Stanford	Snyder	IMR90	CEBPB	CEBPB	ENSG00000172216	None	std	70506	70445	61	0.08651746	260113	203308	70302	300000		
48	1	wgEncodeSydhTfbsK562CebpbIggrabAlnRep0	Stanford	Snyder	K562	CEBPB	CEBPB	ENSG00000172216	None	std	38785	38715	70	0.180482145	70018	51292	24725	288418		
49	0	wgEncodeHaibTfbsGm12878Cebpbsc150V0422111AlnRep0	HudsonAlpha	Myers	GM12878	CEBPB	CEBPB_(SC-150)	ENSG00000172216	None	v042211.1	5818	5786	32	0.550017188	33185	12133	0	300000		
50	1	wgEncodeHaibTfbsHepg2Cebpbsc150V0416101AlnRep0	HudsonAlpha	Myers	HepG2	CEBPB	CEBPB_(SC-150)	ENSG00000172216	None	v041610.1	18171	18125	46	0.253150625	65772	32007	18736	300000		
51	1	wgEncodeHaibTfbsK562Cebpbsc150V0422111AlnRep0	HudsonAlpha	Myers	K562	CEBPB	CEBPB_(SC-150)	ENSG00000172216	None	v042211.1	22297	22240	57	0.255639772	58386	38708	21967	300000		
52	1	wgEncodeHaibTfbsHepg2Cebpdsc636V0416101AlnRep0	HudsonAlpha	Myers	HepG2	CEBPD	CEBPD_(SC-636)	ENSG00000221869	None	v041610.1	11476	11433	43	0.374695016	89313	32931	8001	300000		
53	-1	wgEncodeSydhTfbsHepg2CebpzIggrabAlnRep0	Stanford	Snyder	HepG2	CEBPZ	CEBPZ	ENSG00000115816	None	std	452	409	43	9.513274336	76	0	0	300000		
54	1	wgEncodeSydhTfbsGm12878Chd1a301218aIggmusAlnRep0	Stanford	Snyder	GM12878	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	6681	6668	13	0.194581649	314	0	0	300000		
55	1	wgEncodeBroadHistoneH1hescChd1a301218aStdAlnRep0	Broad	Bernstein	H1-hESC	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	7272	7247	25	0.343784378	8810	693	0	300000		
56	0	wgEncodeSydhTfbsH1hescChd1a301218aIggrabAlnRep0	Stanford	Snyder	H1-hESC	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	2276	2191	85	3.734622144	164	0	0	34956		
57	1	wgEncodeBroadHistoneK562Chd1a301218aStdAlnRep0	Broad	Bernstein	K562	CHD1	CHD1_(A301-218A)	ENSG00000153922	None	std	9397	9350	47	0.500159625	8009	1770	0	300000		
58	1	wgEncodeSydhTfbsGm12878Chd2ab68301IggmusAlnRep0	Stanford	Snyder	GM12878	CHD2	CHD2_(AB68301)	ENSG00000173575	None	std	15606	15597	9	0.057670127	11786	5750	0	300000		
59	1	wgEncodeSydhTfbsH1hescChd2IggrabAlnRep0	Stanford	Snyder	H1-hESC	CHD2	CHD2_(AB68301)	ENSG00000173575	None	std	6896	6849	47	0.681554524	14697	1417	0	133142		
60	1	wgEncodeSydhTfbsHelas3Chd2IggrabAlnRep0	Stanford	Snyder	HeLa-S3	CHD2	CHD2_(AB68301)	ENSG00000173575	None	std	20558	20500	58	0.282128612	37064	16059	0	300000		
61	1	wgEncodeSydhTfbsHepg2Chd2ab68301IggrabAlnRep0	Stanford	Snyder	HepG2	CHD2	CHD2_(AB68301)	ENSG00000173575	None	std	5226	5169	57	1.090700344	1822	1210	0	300000		
62	1	wgEncodeSydhTfbsK562Chd2ab68301IggrabAlnRep0	Stanford	Snyder	K562	CHD2	CHD2_(AB68301)	ENSG00000173575	None	std	7872	7797	75	0.952743902	9799	6308	0	80733		
63	1	wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmAlnRep0	HudsonAlpha	Myers	A549	CREB1	CREB1_(SC-240)	ENSG00000118260	DEX_100nM	v041610.2	15932	15913	19	0.119256842	14016	5363	0	300000		
64	1	wgEncodeSydhTfbsH1hescCtbp2UcdAlnRep0	USC	Snyder	H1-hESC	CTBP2	CtBP2	ENSG00000175029	None	std	7108	7089	19	0.267304446	36119	19745	0	300000		
65	1	wgEncodeOpenChromChipA549CtcfAlnRep0	UT-A	Crawford	A549	CTCF	CTCF	ENSG00000102974	None	std	55412	55351	61	0.110084458	61271	51836	46474	300000		
66	1	wgEncodeUwTfbsA549CtcfStdAlnRep0	UW	Stam	A549	CTCF	CTCF	ENSG00000102974	None	std	45813	45732	81	0.17680571	93269	76408	62666	300000		
67	1	wgEncodeUwTfbsAg04449CtcfStdAlnRep0	UW	Stam	AG04449	CTCF	CTCF	ENSG00000102974	None	std	50339	50260	79	0.156935974	63477	57188	47764	186155		
68	1	wgEncodeUwTfbsAg04450CtcfStdAlnRep0	UW	Stam	AG04450	CTCF	CTCF	ENSG00000102974	None	std	46565	46500	65	0.139589821	50460	45798	41454	93725		
69	1	wgEncodeUwTfbsAg09309CtcfStdAlnRep0	UW	Stam	AG09309	CTCF	CTCF	ENSG00000102974	None	std	43984	43928	56	0.127319025	43730	40055	37540	300000		
70	1	wgEncodeUwTfbsAg09319CtcfStdAlnRep0	UW	Stam	AG09319	CTCF	CTCF	ENSG00000102974	None	std	49744	49675	69	0.138710196	58980	53252	48990	165380		
71	1	wgEncodeUwTfbsAg10803CtcfStdAlnRep0	UW	Stam	AG10803	CTCF	CTCF	ENSG00000102974	None	std	47701	47656	45	0.094337645	48647	44684	41104	300000		
72	1	wgEncodeUwTfbsAoafCtcfStdAlnRep0	UW	Stam	AoAF	CTCF	CTCF	ENSG00000102974	None	std	46001	45960	41	0.089128497	53134	48238	43217	132493		
73	1	wgEncodeUwTfbsBe2cCtcfStdAlnRep0	UW	Stam	BE2_C	CTCF	CTCF	ENSG00000102974	None	std	54708	54655	53	0.09687797	63546	57811	52715	300000		
74	1	wgEncodeUwTfbsBjCtcfStdAlnRep0	UW	Stam	BJ	CTCF	CTCF	ENSG00000102974	None	std	44697	44668	29	0.064881312	69207	59910	52398	300000		
75	1	wgEncodeUwTfbsCaco2CtcfStdAlnRep0	UW	Stam	Caco-2	CTCF	CTCF	ENSG00000102974	None	std	46904	46852	52	0.110864745	53196	47163	39954	300000		
76	1	wgEncodeBroadHistoneDnd41CtcfAlnRep0	Broad	Bernstein	Dnd41	CTCF	CTCF	ENSG00000102974	None	std	50108	50070	38	0.075836194	152629	103815	75442	300000		
77	1	wgEncodeOpenChromChipFibroblCtcfAlnRep0	UT-A	Crawford	Fibrobl	CTCF	CTCF	ENSG00000102974	None	std	46069	45978	91	0.197529792	86203	61848	27882	300000		
78	1	wgEncodeOpenChromChipGlioblaCtcfAlnRep0	UT-A	Crawford	Gliobla	CTCF	CTCF	ENSG00000102974	None	std	62877	62772	105	0.1669927	70665	61157	52090	273826		
79	1	wgEncodeUwTfbsGm06990CtcfStdAlnRep0	UW	Stam	GM06990	CTCF	CTCF	ENSG00000102974	None	std	45537	45500	37	0.081252608	66188	56604	46804	300000		
80	1	wgEncodeUwTfbsGm12801CtcfStdAlnRep1	UW	Stam	GM12801	CTCF	CTCF	ENSG00000102974	None	std	2886	2883	3	0.103950104	67597	31563	8783	98736		
81	1	wgEncodeUwTfbsGm12864CtcfStdAlnRep0	UW	Stam	GM12864	CTCF	CTCF	ENSG00000102974	None	std	46838	46798	40	0.085400743	51308	46549	42914	113141		
82	1	wgEncodeUwTfbsGm12865CtcfStdAlnRep0	UW	Stam	GM12865	CTCF	CTCF	ENSG00000102974	None	std	44127	44069	58	0.131438802	46146	42293	37163	300000		
83	1	wgEncodeUwTfbsGm12872CtcfStdAlnRep0	UW	Stam	GM12872	CTCF	CTCF	ENSG00000102974	None	std	47189	47151	38	0.080527242	48693	44131	39019	300000		
84	1	wgEncodeUwTfbsGm12873CtcfStdAlnRep0	UW	Stam	GM12873	CTCF	CTCF	ENSG00000102974	None	std	51056	51005	51	0.099890317	62321	56014	48962	300000		
85	1	wgEncodeUwTfbsGm12874CtcfStdAlnRep0	UW	Stam	GM12874	CTCF	CTCF	ENSG00000102974	None	std	37547	37517	30	0.079899859	60659	52476	47224	300000		
86	1	wgEncodeUwTfbsGm12875CtcfStdAlnRep0	UW	Stam	GM12875	CTCF	CTCF	ENSG00000102974	None	std	39224	39184	40	0.101978381	56152	47586	39190	300000		
87	1	wgEncodeBroadHistoneGm12878CtcfStdAlnRep0	Broad	Bernstein	GM12878	CTCF	CTCF	ENSG00000102974	None	std	45018	44982	36	0.079968013	45856	39845	25159	91275		
88	1	wgEncodeOpenChromChipGm12878CtcfAlnRep0	UT-A	Crawford	GM12878	CTCF	CTCF	ENSG00000102974	None	std	48947	48916	31	0.06333381	73663	64346	56525	300000		
89	1	wgEncodeUwTfbsGm12878CtcfStdAlnRep0	UW	Stam	GM12878	CTCF	CTCF	ENSG00000102974	None	std	40148	40122	26	0.064760387	49524	44089	37709	300000		
90	1	wgEncodeOpenChromChipGm12891CtcfAlnRep0	UT-A	Crawford	GM12891	CTCF	CTCF	ENSG00000102974	None	std	42693	42632	61	0.142880566	81288	63230	52083	300000		
91	1	wgEncodeOpenChromChipGm12892CtcfAlnRep0	UT-A	Crawford	GM12892	CTCF	CTCF	ENSG00000102974	None	std	48352	48306	46	0.095135672	128796	90498	62889	300000		
92	1	wgEncodeOpenChromChipGm19238CtcfAlnRep0	UT-A	Crawford	GM19238	CTCF	CTCF	ENSG00000102974	None	std	49989	49938	51	0.102022445	168792	113933	80452	300000		
93	1	wgEncodeOpenChromChipGm19239CtcfAlnRep0	UT-A	Crawford	GM19239	CTCF	CTCF	ENSG00000102974	None	std	41148	41085	63	0.153105862	62012	49561	42572	300000		
94	1	wgEncodeOpenChromChipGm19240CtcfAlnRep0	UT-A	Crawford	GM19240	CTCF	CTCF	ENSG00000102974	None	std	46077	46036	41	0.088981488	169281	108415	68993	300000		
95	1	wgEncodeBroadHistoneH1hescCtcfStdAlnRep0	Broad	Bernstein	H1-hESC	CTCF	CTCF	ENSG00000102974	None	std	66584	66551	33	0.049561456	98712	84293	68267	300000		
96	1	wgEncodeOpenChromChipH1hescCtcfAlnRep1	UT-A	Crawford	H1-hESC	CTCF	CTCF	ENSG00000102974	None	std	43287	43247	40	0.092406496	100363	81899	64075	300000		
97	1	wgEncodeUwTfbsHaspCtcfStdAlnRep0	UW	Stam	HA-sp	CTCF	CTCF	ENSG00000102974	None	std	46609	46546	63	0.135167028	63969	54883	47149	300000		
98	1	wgEncodeUwTfbsHacCtcfStdAlnRep0	UW	Stam	HAc	CTCF	CTCF	ENSG00000102974	None	std	45648	45591	57	0.124868559	60397	52690	47343	300000		
99	1	wgEncodeUwTfbsHbmecCtcfStdAlnRep0	UW	Stam	HBMEC	CTCF	CTCF	ENSG00000102974	None	std	58455	58376	79	0.135146694	84843	74893	62856	300000		
100	1	wgEncodeUwTfbsHcfaaCtcfStdAlnRep1	UW	Stam	HCFaa	CTCF	CTCF	ENSG00000102974	None	std	41629	41571	58	0.139325951	85936	64321	52697	300000		
101	1	wgEncodeUwTfbsHcmCtcfStdAlnRep0	UW	Stam	HCM	CTCF	CTCF	ENSG00000102974	None	std	50742	50703	39	0.076859406	64735	57692	50695	300000		
102	1	wgEncodeUwTfbsHcpeCtcfStdAlnRep0	UW	Stam	HCPEpiC	CTCF	CTCF	ENSG00000102974	None	std	61131	61062	69	0.112872356	77472	69462	61591	245350		
103	1	wgEncodeUwTfbsHct116CtcfStdAlnRep0	UW	Stam	HCT-116	CTCF	CTCF	ENSG00000102974	None	std	50398	50294	104	0.206357395	59275	53350	49758	300000		
104	1	wgEncodeUwTfbsHeeCtcfStdAlnRep0	UW	Stam	HEEpiC	CTCF	CTCF	ENSG00000102974	None	std	46271	46226	45	0.097253139	49411	45059	40346	92005		
105	1	wgEncodeUwTfbsHek293CtcfStdAlnRep0	UW	Stam	HEK293	CTCF	CTCF	ENSG00000102974	None	std	47372	47331	41	0.086549016	87270	72442	62783	300000		
106	1	wgEncodeBroadHistoneHelas3CtcfStdAlnRep0	Broad	Bernstein	HeLa-S3	CTCF	CTCF	ENSG00000102974	None	std	52836	52783	53	0.100310394	99428	71294	61508	300000		
107	1	wgEncodeOpenChromChipHelas3CtcfAlnRep0	UT-A	Crawford	HeLa-S3	CTCF	CTCF	ENSG00000102974	None	std	58835	58806	29	0.049290388	78798	71382	61816	156073		
108	1	wgEncodeUwTfbsHelas3CtcfStdAlnRep0	UW	Stam	HeLa-S3	CTCF	CTCF	ENSG00000102974	None	std	38423	38400	23	0.05985998	76953	64151	55144	300000		
109	1	wgEncodeBroadHistoneHepg2CtcfStdAlnRep0	Broad	Bernstein	HepG2	CTCF	CTCF	ENSG00000102974	None	std	46487	46448	39	0.083894422	66848	59019	51692	300000		
110	1	wgEncodeOpenChromChipHepg2CtcfAlnRep0	UT-A	Crawford	HepG2	CTCF	CTCF	ENSG00000102974	None	std	40829	40800	29	0.071027946	66990	59358	53719	233802		
111	1	wgEncodeUwTfbsHepg2CtcfStdAlnRep0	UW	Stam	HepG2	CTCF	CTCF	ENSG00000102974	None	std	48756	48708	48	0.098449422	80836	67063	61451	300000		
112	1	wgEncodeUwTfbsHffCtcfStdAlnRep1	UW	Stam	HFF	CTCF	CTCF	ENSG00000102974	None	std	34909	34889	20	0.057291816	82623	60981	50311	283662		
113	1	wgEncodeUwTfbsHffmycCtcfStdAlnRep0	UW	Stam	HFF-Myc	CTCF	CTCF	ENSG00000102974	None	std	43903	43821	82	0.186775391	49234	44093	39918	236857		
114	0	wgEncodeUwTfbsHl60CtcfStdAlnRep1	UW	Stam	HL-60	CTCF	CTCF	ENSG00000102974	None	std	16700	16683	17	0.101796407	82581	40902	6146	125360		
115	1	wgEncodeBroadHistoneHmecCtcfStdAlnRep0	Broad	Bernstein	HMEC	CTCF	CTCF	ENSG00000102974	None	std	40081	40048	33	0.082333275	51234	43024	34476	300000		
116	1	wgEncodeUwTfbsHmecCtcfStdAlnRep0	UW	Stam	HMEC	CTCF	CTCF	ENSG00000102974	None	std	55932	55897	35	0.062575985	68756	62507	57093	219224		
117	1	wgEncodeUwTfbsHmfCtcfStdAlnRep0	UW	Stam	HMF	CTCF	CTCF	ENSG00000102974	None	std	54216	54171	45	0.083001328	54955	51191	46445	80676		
118	1	wgEncodeUwTfbsHpafCtcfStdAlnRep0	UW	Stam	HPAF	CTCF	CTCF	ENSG00000102974	None	std	56734	56686	48	0.084605351	64104	57280	38204	129191		
119	1	wgEncodeUwTfbsHpfCtcfStdAlnRep0	UW	Stam	HPF	CTCF	CTCF	ENSG00000102974	None	std	46207	46150	57	0.123357933	48664	43495	23795	300000		
120	1	wgEncodeUwTfbsHreCtcfStdAlnRep0	UW	Stam	HRE	CTCF	CTCF	ENSG00000102974	None	std	42313	42295	18	0.042540118	123268	85196	67845	300000		
121	1	wgEncodeUwTfbsHrpeCtcfStdAlnRep0	UW	Stam	HRPEpiC	CTCF	CTCF	ENSG00000102974	None	std	53207	53134	73	0.137199992	58585	53435	33881	300000		
122	1	wgEncodeBroadHistoneHsmmCtcfStdAlnRep0	Broad	Bernstein	HSMM	CTCF	CTCF	ENSG00000102974	None	std	50949	50924	25	0.049068677	72840	59867	40849	300000		
123	1	wgEncodeBroadHistoneHsmmtCtcfStdAlnRep0	Broad	Bernstein	HSMMtube	CTCF	CTCF	ENSG00000102974	None	std	47994	47949	45	0.09376172	81176	59335	50318	300000		
124	1	wgEncodeBroadHistoneHuvecCtcfStdAlnRep0	Broad	Bernstein	HUVEC	CTCF	CTCF	ENSG00000102974	None	std	37440	37412	28	0.074786325	58117	45521	38224	300000		
125	1	wgEncodeOpenChromChipHuvecCtcfAlnRep0	UT-A	Crawford	HUVEC	CTCF	CTCF	ENSG00000102974	None	std	44054	44033	21	0.04766877	55779	51707	41332	300000		
126	1	wgEncodeUwTfbsHuvecCtcfStdAlnRep0	UW	Stam	HUVEC	CTCF	CTCF	ENSG00000102974	None	std	37942	37920	22	0.057983238	152260	97188	65081	235329		
127	1	wgEncodeUwTfbsHvmfCtcfStdAlnRep0	UW	Stam	HVMF	CTCF	CTCF	ENSG00000102974	None	std	46508	46460	48	0.10320805	73105	59871	51307	300000		
128	1	wgEncodeBroadHistoneK562CtcfStdAlnRep0	Broad	Bernstein	K562	CTCF	CTCF	ENSG00000102974	None	std	52078	51992	86	0.16513691	87974	69673	53883	300000		
129	1	wgEncodeOpenChromChipK562CtcfAlnRep0	UT-A	Crawford	K562	CTCF	CTCF	ENSG00000102974	None	std	56101	56058	43	0.076647475	100047	84119	71909	300000		
130	1	wgEncodeUwTfbsK562CtcfStdAlnRep0	UW	Stam	K562	CTCF	CTCF	ENSG00000102974	None	std	43291	43247	44	0.101637754	53802	45649	39879	300000		
